"reflectionGroup","author","votes","type","createdAt","discussionThread","prompt","content"
"Nejlepší den na Kanárech byl","Anonymous",0,"Reflection","2025-02-23T20:21:06.664Z","","What went well 😄","Nejlepší den na Kanárech byl ten, kde se dělo víc než jen jídlo a padel. Nechodit v tak hezký přírodě do hor je fakt škoda 😞 

Příště až pojedem, tak jsou hory must have, jinak nemá smysl nikam jezdit 😂 "
"Nákup nemovitostí floridě.","Anonymous",0,"Reflection","2025-04-25T16:23:43.309Z","","What went well 😄","Nákup nemovitostí na Floridě. Good choise?"
"Přecenil jsem svoji","Anonymous",0,"Reflection","2025-04-23T07:28:42.546Z","","What didn't go well 😞","přecenil jsem svoji gym formu, nechcete někdo trika ve velikosti M z decathlonu? jednou vyprané"
"Bylo morálně správné","Anonymous",0,"Reflection","2025-04-23T07:29:16.525Z","","What went well 😄","Bylo by morálně správné být vegetariány?"
"Realitní shaker birtova","Anonymous",0,"Reflection","2025-04-22T09:11:22.629Z","","What went well 😄","Realitní shaker - Iva Birtova"
"Nákup nemovitostí mladé","Anonymous",0,"Reflection","2025-04-22T09:11:16.351Z","","What didn't go well 😞","Nákup nemovitostí v Mladé Boleslavi"
"Třídní sraz dolním","Anonymous",0,"Reflection","2025-04-22T09:10:59.425Z","","What went well 😄","Třídní sraz v Dolním Bousově"
"Nějaké nové zážitky?","Anonymous",0,"Reflection","2025-04-25T16:24:44.383Z","","What went well 😄","Co nějaké nové zážitky? Nové věci co vyzkoušet? Nějaké kurzy? Co třeba první kurz první pomoci?"
"Dušan vybíral zážitek","Anonymous",0,"Reflection","2025-04-25T16:23:49.762Z","","What went well 😄","Dušan vybíral zážitek - co nakonec vybral? A doporučil by?"
"Vířivka zahradě říkal","Anonymous",0,"Reflection","2025-04-25T15:44:57.819Z","","What went well 😄","Vířivka na zahradě - říkal jsem si, že to je píčovina, ale nakonec docela dobrá věc"
"Páteřní cyklostezka zavřena,","Anonymous",0,"Reflection","2025-04-17T07:49:27.475Z","","What didn't go well 😞","Páteřní cyklostezka zavřena, objízdná trasa neexistuje, Česko patří na východ"
"Dopadlo garminem, kterému","Anonymous",0,"Reflection","2025-04-17T07:35:10.797Z","","What didn't go well 😞","Jak to dopadlo s Garminem, kterému přišla zpráva ohledně private SDK ze soukromého Gmailu? 😂 "
"Přijít papíry, když","Anonymous",0,"Reflection","2025-04-22T05:29:50.607Z","","What didn't go well 😞","Měl bys přijít o papíry, když jezdíš 300 po silnicích? Chtěli byste někoho takového potkat? V těhlech rychlostech je řidič nepředvídatelný pro ostatní řidiče a nehoda se může stát jednoduše. Lepší zavřít dřív než někoho zabije?"
"Petr vyrovnava poklesem","Anonymous",0,"Reflection","2025-04-23T13:42:31.169Z","","What went well 😄","Jak se Petr vyrovnava s poklesem testaku?"
"Druhej fulltajm.","Anonymous",0,"Reflection","2025-04-23T13:25:08.583Z","","What went well 😄","Druhej fulltajm. Jak na to?"
"Turnaj $220k. vstup","Anonymous",0,"Reflection","2025-04-23T13:24:04.133Z","","What went well 😄","PSA turnaj o $220k. Vstup zdarma. V publiku stejne skoro nikdo. 



Existuje mene divacky zajimavy sport nez squash?"
"Bereal opět dopadlo","Anonymous",0,"Reflection","2025-04-12T08:12:24.314Z","","What didn't go well 😞","S BeReal to opět dopadlo špatně i na druhý pokus. Je chyba v Praze nebo v té aplikaci?"
"Zázračný lék?","Anonymous",0,"Reflection","2025-04-07T19:29:25.346Z","","What went well 😄","zázračný lék? 💊 "
"Pamatujete michala jinocha?","Anonymous",0,"Reflection","2025-04-07T12:10:57.495Z","","What went well 😄","pamatujete na Michala Jinocha?"
"Hygienik stavbě letišti.","Anonymous",0,"Reflection","2025-04-07T15:34:26.258Z","","What didn't go well 😞","Hygienik ke stavbě a letišti. Zakázáno stavět, nutno filtrovat až 60 dB, nebo nutné povinné odvětrávání? Začíná mě stát srát"
"Konečně jsem odhodlal","Anonymous",0,"Reflection","2025-04-06T20:09:16.662Z","","What went well 😄","Konečně jsem se odhodlal a koupil balík Freeway koly zero. A je to bez rozdílu 😍"
"Rychlost porodnice průměrné","Anonymous",0,"Reflection","2025-03-28T14:12:40.113Z","","What went well 😄","Rychlost do porodnice průměrné 92kmh"
"Někdy zase dostaneme","Anonymous",0,"Reflection","2025-04-03T15:33:28.089Z","","What went well 😄","Až se někdy zase dostaneme k tomu, že ženský mají stejný práva a nekouká se na ně jako na štětky...

Reklama mBank, kde týpek u pivka ukazuje na holku prsten, protože holkám manželé imponují, ale ono to nezafunuje.. Naštěstí je to platební prsten, čímž typka hned přijde a jde s ním na rande 👏 

Holky jsou totiž jen zlatokopky ❤️  a chlapi mají prostě vždycky platit..

Za mě bych rád, aby mBank krachla, děkuji"
